  Event Name,       Type,     Event ID,    Version,    Channel,      Level,     Opcode,       Task,            Keyword,        PID,        TID,     Processor Number,  Instance ID,   Parent Instance ID,                              Activity ID,                      Related Activity ID,           Clock-Time, Kernel(ms),   User(ms), User Data
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000004, 0x00000220,                    7,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024561398778535,      30360,          0,     19, "\_SB.PC00.XHCI._ADR", "started ",                0
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000004, 0x00000220,                    7,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024561398781691,      30360,          0,     19, "\_SB.PC00.XHCI._ADR", "finished ",                0
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000004, 0x00000220,                    7,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024561398781807,      30360,          0,     19, "\_SB.PC00.XHCI._PS0", "finished ",                2
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000004, 0x00000220,                    7,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024561398788937,      30360,          0,     19, "\_SB.PC00.TDM0._PS0", "started ",                0
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000004, 0x00000220,                    7,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024561398788944,      30360,          0,     17, "\_SB.PC00.D3C._ON", "finished ",                0
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000004, 0x00000220,                    7,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024561398836066,      30360,          0,     19, "\_SB.PC00.TDM0._STA", "started ",                0
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000004, 0x00000220,                    7,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024561398836077,      30360,          0,     19, "\_SB.PC00.TDM0._PS0", "finished ",                5
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000004, 0x00000220,                    7,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024561398838188,      30360,          0,     19, "\_SB.PC00.TDM0._STA", "finished ",                0
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000004, 0x00000014,                    5,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024561399913016,      62670,          0,     24, "\_SB.PC00.TXHC.RHUB._PS0", "started ",                0
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000004, 0x00000220,                    2,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024561399921182,      30360,          0,     24, "\_SB.PC00.TXHC.RHUB._PS0", "finished ",                1
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000004, 0x00000014,                   15,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024561399930149,      62670,          0,     24, "\_SB.PC00.XHCI.RHUB._PS0", "started ",                0
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000004, 0x00000220,                    5,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024561399932439,      30360,          0,     19, "\_SB.PC00.XHCI._ADR", "started ",                0
